Facade,Approach,Window IoU,Overall IoU
facade1,UNet,0.20628415836106948,0.21363931509663223
facade1,MaskRCNN,0.36515410657128616,0.52224302470449
facade1,Fusion (before boxes),0.4415786783199462,0.4573358248062443
facade1,Fusion (after boxes),0.4761419765509548,0.4923954576295397
facade2,UNet,0.05755656766971993,0.0576441219364466
facade2,MaskRCNN,0.3873007763438642,0.43571545077171414
facade2,Fusion (before boxes),0.3693883541006462,0.3720924688235323
facade2,Fusion (after boxes),0.4239847565871401,0.4239847565871401
facade3,UNet,0.2712516507593493,0.2732900971033976
facade3,MaskRCNN,0.31766980217461555,0.5887088711502134
facade3,Fusion (before boxes),0.44865340592269454,0.4501965018697451
facade3,Fusion (after boxes),0.50000375449225,0.50000375449225
